lable,b_type,statistical_type,asset,symbol
LON Token LON,DEFi,token,LON Token,LON
DeFiWizard Token DWZ,DEFi,token,DeFiWizard Token,DWZ
eBitcoin EBTC,DEFi,token,eBitcoin,EBTC
RipioCreditNetwork RCN,DEFi,token,RipioCreditNetwork,RCN
ATLANT ATL,DEFi,token,ATLANT,ATL
HUSD HUSD,DEFi,token,HUSD,HUSD
BarnBridge Governance Token BOND,DEFi,token,BarnBridge Governance Token,BOND
ShareToken SHR,DEFi,token,ShareToken,SHR
ELYSIA EL,DEFi,token,ELYSIA,EL
Compound Ether cETH,DEFi,token,Compound Ether,cETH
Spheroid SPH,DEFi,token,Spheroid,SPH
EthLend LEND,DEFi,token,EthLend,LEND
Sipher Token SIPHER,DEFi,token,Sipher Token,SIPHER
Change Your Life AAA,DEFi,token,Change Your Life,AAA
Ethereum Gold ETG,DEFi,token,Ethereum Gold,ETG
HuobiToken HT,DEFi,token,HuobiToken,HT
Mogul Stars STARS,DEFi,token,Mogul Stars,STARS
Shadows Network DOWS,DEFi,token,Shadows Network,DOWS
ABX Token ABX,DEFi,token,ABX Token,ABX
BTU Protocol BTU,DEFi,token,BTU Protocol,BTU
XPlay XPA,DEFi,token,XPlay,XPA
RootKit ROOT,DEFi,token,RootKit,ROOT
Meta Apes Peel PEEL,DEFi,token,Meta Apes Peel,PEEL
YAM YAM,DEFi,token,YAM,YAM
Prime PRIME,DEFi,token,Prime,PRIME
Bloom BLT,DEFi,token,Bloom,BLT
Gather GTH,DEFi,token,Gather,GTH
indaHash Coin IDH,DEFi,token,indaHash Coin,IDH
NEST NEST,DEFi,token,NEST,NEST
TE-FOOD/TustChain TONE,DEFi,token,TE-FOOD/TustChain,TONE
SENTINEL PROTOCOL UPP,DEFi,token,SENTINEL PROTOCOL,UPP
ZTCoin ZT,DEFi,token,ZTCoin,ZT
ParaSwap PSP,DEFi,token,ParaSwap,PSP
SushiBar xSUSHI,DEFi,token,SushiBar,xSUSHI
BTOCoin BTO,DEFi,token,BTOCoin,BTO
https://unimex.network/ UMX,DEFi,token,https://unimex.network/,UMX
ATN ATN,DEFi,token,ATN,ATN
Cap CAP,DEFi,token,Cap,CAP
Shiden SDN,DEFi,token,Shiden,SDN
SportX SX,DEFi,token,SportX,SX
Alpha Quark Token AQT,DEFi,token,Alpha Quark Token,AQT
AltEstate token ALT,DEFi,token,AltEstate token,ALT
UniLend Finance Token UFT,DEFi,token,UniLend Finance Token,UFT
UTN-P: Universa Token UTNP,DEFi,token,UTN-P: Universa Token,UTNP
RAZOR RAZOR,DEFi,token,RAZOR,RAZOR
Themis GET,DEFi,token,Themis,GET
Datarius Credit DTRC,DEFi,token,Datarius Credit,DTRC
Bitkub Token KUB,DEFi,token,Bitkub Token,KUB
LQTY LQTY,DEFi,token,LQTY,LQTY
Celo Euro (Wormhole) cEUR,DEFi,token,Celo Euro (Wormhole),cEUR
Lords LORDS,DEFi,token,Lords,LORDS
Dogelon ELON,DEFi,token,Dogelon,ELON
DGD DGD,DEFi,token,DGD,DGD
PEAKDEFI PEAK,DEFi,token,PEAKDEFI,PEAK
Jigstack STAK,DEFi,token,Jigstack,STAK
Vibe Coin VIBE,DEFi,token,Vibe Coin,VIBE
Alien Worlds Trilium TLM,DEFi,token,Alien Worlds Trilium,TLM
Wrapped NXM wNXM,DEFi,token,Wrapped NXM,wNXM
UnmarshalToken MARSH,DEFi,token,UnmarshalToken,MARSH
Cashaa CAS,DEFi,token,Cashaa,CAS
Vox.Finance VOX,DEFi,token,Vox.Finance,VOX
WOM Token WOM,DEFi,token,WOM Token,WOM
DIGITAL FITNESS DEFIT,DEFi,token,DIGITAL FITNESS,DEFIT
Signata SATA,DEFi,token,Signata,SATA
DATA Economy Index DATA,DEFi,token,DATA Economy Index,DATA
TXA TXA,DEFi,token,TXA,TXA
STASIS EURS Token EURS,DEFi,token,STASIS EURS Token,EURS
Blockport BPT,DEFi,token,Blockport,BPT
UMA Voting Token v1 UMA,DEFi,token,UMA Voting Token v1,UMA
MEDIBIT MEDIBIT,DEFi,token,MEDIBIT,MEDIBIT
Artify AFY,DEFi,token,Artify,AFY
Ccore CCO,DEFi,token,Ccore,CCO
CosplayToken COT,DEFi,token,CosplayToken,COT
BANCA BANCA,DEFi,token,BANCA,BANCA
Demeter DEO,DEFi,token,Demeter,DEO
Crypto Daily Token CRDT,DEFi,token,Crypto Daily Token,CRDT
BAT BAT,DEFi,token,BAT,BAT
Celo Dollar (Wormhole) cUSD,DEFi,token,Celo Dollar (Wormhole),cUSD
Polymath POLY,DEFi,token,Polymath,POLY
DeGate Token DG,DEFi,token,DeGate Token,DG
Reef.finance REEF,DEFi,token,Reef.finance,REEF
NapoleonX NPX,DEFi,token,NapoleonX,NPX
Contentos COS,DEFi,token,Contentos,COS
PILLAR PLR,DEFi,token,PILLAR,PLR
SAN SAN,DEFi,token,SAN,SAN
Guaranteed Entrance Token GET,DEFi,token,Guaranteed Entrance Token,GET
8PAY Network 8PAY,DEFi,token,8PAY Network,8PAY
BIXToken BIX,DEFi,token,BIXToken,BIX
MARS4 MARS4,DEFi,token,MARS4,MARS4
Tidal Token TIDAL,DEFi,token,Tidal Token,TIDAL
Cult DAO CULT,DEFi,token,Cult DAO,CULT
YOP YOP,DEFi,token,YOP,YOP
BoutsPro BOUTS,DEFi,token,BoutsPro,BOUTS
Nord Token NORD,DEFi,token,Nord Token,NORD
NUM Token NUM,DEFi,token,NUM Token,NUM
Edgeless EDG,DEFi,token,Edgeless,EDG
Wrapped Ether WETH,DEFi,token,Wrapped Ether,WETH
CargoX CXO,DEFi,token,CargoX,CXO
Eden Coin EDN,DEFi,token,Eden Coin,EDN
Splintershards SPS,DEFi,token,Splintershards,SPS
FinTab FNTB,DEFi,token,FinTab,FNTB
RARE.UNIQUE RARE,DEFi,token,RARE.UNIQUE,RARE
Unripe BEAN3CRV urBEAN3CRV,DEFi,token,Unripe BEAN3CRV,urBEAN3CRV
Covesting COV,DEFi,token,Covesting,COV
Bolide BLID,DEFi,token,Bolide,BLID
Euro Tether EURT,DEFi,token,Euro Tether,EURT
NuCypher NU,DEFi,token,NuCypher,NU
NanoByte Token NBT,DEFi,token,NanoByte Token,NBT
Victoria VR VR,DEFi,token,Victoria VR,VR
MT Token MT,DEFi,token,MT Token,MT
Alpha Coin APC,DEFi,token,Alpha Coin,APC
TownCoin TOWN,DEFi,token,TownCoin,TOWN
Divi DIVI,DEFi,token,Divi,DIVI
Amber AMB,DEFi,token,Amber,AMB
Fusion anyFSN,DEFi,token,Fusion,anyFSN
Dexe DEXE,DEFi,token,Dexe,DEXE
Immutable X IMX,DEFi,token,Immutable X,IMX
Humaniq HMQ,DEFi,token,Humaniq,HMQ
XIDO FINANCE XIDO,DEFi,token,XIDO FINANCE,XIDO
dHedge DAO Token DHT,DEFi,token,dHedge DAO Token,DHT
Traxia Membership Token TMT,DEFi,token,Traxia Membership Token,TMT
Civilization CIV,DEFi,token,Civilization,CIV
MEAN MEAN,DEFi,token,MEAN,MEAN
Decentral Games Governance xDG,DEFi,token,Decentral Games Governance,xDG
TTC Protocol (TTC) TTC,DEFi,token,TTC Protocol (TTC),TTC
SPINDLE SPD,DEFi,token,SPINDLE,SPD
Genesis Pool GPOOL,DEFi,token,Genesis Pool,GPOOL
Graph Token GRT,DEFi,token,Graph Token,GRT
Amp AMP,DEFi,token,Amp,AMP
EXRP Network EXRN,DEFi,token,EXRP Network,EXRN
Ethereum Name Service ENS,DEFi,token,Ethereum Name Service,ENS
